boxLength,numRectangles,minWidth,maxWidth,minHeight,maxHeight,theoretical lower bound,SizeOrderedBinPackingGreedy (boxes),SizeOrderedBinPackingGreedy (time),BoxClosingBinPackingGreedy (boxes),BoxClosingBinPackingGreedy (time),TopLeftFirstBoxMergingBinPacking (boxes),TopLeftFirstBoxMergingBinPacking (time),RectanglePermutationBinPacking (boxes),RectanglePermutationBinPacking (time),TopLeftFirstOverlappingBinPacking (boxes),TopLeftFirstOverlappingBinPacking (time)
10,100,1,4,1,4,6,6,0.059,6,0.066,6,0.327,6,0.062,7,0.361
10,100,1,4,1,4,7,7,0.012,7,0.024,7,0.159,7,0.042,7,0.178
10,100,1,4,1,4,6,6,0.008,6,0.017,6,0.085,6,0.033,7,0.187
30,100,1,10,1,10,3,3,0.01,3,0.02,4,0.049,3,0.019,4,0.219
30,100,1,10,1,10,4,4,0.013,4,0.029,4,0.059,4,0.02,4,0.261
30,100,1,10,1,10,4,4,0.009,4,0.017,4,0.113,4,0.022,4,0.258
20,250,1,5,1,5,6,6,0.06,6,0.078,6,1.228,6,0.292,7,1.935
20,250,1,5,1,5,6,6,0.039,6,0.076,7,1.038,6,0.297,7,1.634
20,250,1,5,1,5,6,6,0.035,6,0.07,6,1.266,6,0.163,6,1.65
40,250,1,10,1,10,5,5,0.058,5,0.096,6,1.274,6,0.35,6,2.308
40,250,1,10,1,10,5,5,0.05,5,0.102,6,1.864,5,0.278,5,2.637
40,250,1,10,1,10,5,5,0.055,5,0.095,6,0.533,6,0.36,6,2.63
20,400,1,7,1,7,17,17,0.091,17,0.178,18,7.513,18,2.11,18,7.719
20,400,1,7,1,7,16,16,0.088,16,0.18,17,10.712,17,2.607,17,9.162
20,400,1,7,1,7,15,15,0.087,15,0.161,16,9.266,15,1.649,16,9.773
25,400,1,3,1,3,3,3,0.096,3,0.172,3,0.894,3,0.135,3,0.385
25,400,1,3,1,3,3,3,0.098,3,0.17,3,0.516,3,0.087,3,0.393
25,400,1,3,1,3,3,3,0.103,3,0.186,3,0.751,3,0.167,3,0.364
100,300,5,15,5,15,3,4,0.207,4,0.215,4,1.792,4,0.188,4,2.445
100,300,5,15,5,15,3,4,0.247,4,0.212,4,1.862,4,0.199,4,2.712
100,300,5,15,5,15,4,4,0.216,4,0.201,4,1.583,4,0.177,4,1.998
100,300,1,25,1,25,6,6,0.097,6,0.183,6,7.266,6,1.079,6,9.874
100,300,1,25,1,25,6,6,0.103,6,0.192,6,7.137,6,0.359,6,7.652
100,300,1,25,1,25,6,6,0.122,6,0.212,6,7.746,6,0.323,6,9.319
42,400,1,6,5,14,8,8,0.152,9,0.224,9,6.951,9,0.646,9,6.79
42,400,1,6,5,14,8,8,0.144,9,0.212,9,5.421,9,1.499,9,8.298
42,400,1,6,5,14,8,8,0.154,8,0.213,9,9.9,8,1.015,9,9.766
,,,,,,6.37037037037037,6.44444444444444,0.08937037037037,6.51851851851852,0.13337037037037,6.85185185185185,3.23351851851852,6.66666666666667,0.525111111111111,6.92592592592593,3.73733333333333
